MapVersion,AddressId,TagId,X,Y,Theta,OffsetX,OffsetY,OffsetTheta,IsChargeStation,StorageStationId,ChargerX,ChargerY,ChargerTheta,KnownObstacle,AllowVehiclePosition,AllowCargoPosition,IsPickupStation,IsNarrowStation,IsNotWaitingStation
2025112001,106509300,103013,39660,38375,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,90/270,TRUE,FALSE,
2025112001,106505600,102339,39680,20645,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,90/270,TRUE,FALSE,
2025112001,106505500,103005,39680,19105,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,,FALSE,FALSE,
2025112001,106406000,102594,39680,23660,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,,FALSE,FALSE,
2025112001,106606600,103010,39655,25340,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/180,FALSE,TRUE,
2025112001,103305600,102372,26285,20645,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,90/270,FALSE,FALSE,
2025112001,101906100,101006,16340,23740,0,0,0,0,FALSE,PP202,0,0,0,0/180,0/90/180/270,0/180,FALSE,FALSE,
2025112001,100607300,101156,5310,27240,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/180,FALSE,FALSE,
2025112001,100405800,103081,3560,22140,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/180,FALSE,FALSE,
2025112001,102105900,101109,18440,22940,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/180,TRUE,FALSE,
